"id","resignation_submission_id","number_of_employees","k1","k2","k3","k4","k5","k6","k7","created_at","updated_at"
"151",NULL,"2111048758","4","4","4","3","4","4","4","2022-11-15 14:58:37","2022-11-15 14:58:37"
"152",NULL,"1908026550","4","1","4","4","4","3","4","2022-11-15 15:30:16","2022-11-15 15:30:16"
"153",NULL,"2208055817","4","2","4","3","2","4","4","2022-11-15 18:34:13","2022-11-15 18:34:13"
"154",NULL,"2009035670","3","3","3","3","4","4","3","2022-11-15 19:26:13","2022-11-15 19:26:13"
"155",NULL,"2012039443","2","3","2","2","2","2","2","2022-11-16 08:06:25","2022-11-16 08:06:25"
"156",NULL,"2203052229","4","4","4","1","1","4","1","2022-11-16 08:08:17","2022-11-16 08:08:17"
"157",NULL,"2012039082","3","3","3","4","2","3","3","2022-11-16 08:12:24","2022-11-16 08:12:24"
"158",NULL,"2110047649","3","2","3","2","1","4","2","2022-11-16 08:12:41","2022-11-16 08:12:41"
"159",NULL,"1910027871","2","2","4","3","2","2","1","2022-11-16 08:32:41","2022-11-16 08:32:41"
"160",NULL,"2202051569","3","2","1","2","1","4","2","2022-11-16 08:52:49","2022-11-16 08:52:49"
"161",NULL,"2105042638","4","3","3","4","3","2","4","2022-11-16 09:08:01","2022-11-16 09:08:01"
"162",NULL,"1707007753","3","3","3","3","3","3","4","2022-11-16 09:09:01","2022-11-16 09:09:01"
"163",NULL,"2011037827","1","2","3","4","2","1","2","2022-11-16 09:41:12","2022-11-16 09:41:12"
"164",NULL,"2103041674","3","2","4","3","2","1","2","2022-11-16 10:05:01","2022-11-16 10:05:01"
"165",NULL,"2108044861","4","4","4","3","1","4","2","2022-11-16 10:33:20","2022-11-16 10:33:20"
"166",NULL,"2201050418","4","3","4","3","1","3","1","2022-11-16 10:35:43","2022-11-16 10:35:43"
"167",NULL,"2109046161","4","4","4","4","4","2","1","2022-11-16 13:33:51","2022-11-16 13:33:51"
"168",NULL,"2109045995","4","4","4","3","3","2","4","2022-11-16 13:38:43","2022-11-16 13:38:43"
"169",NULL,"2108044696","4","4","4","4","4","4","4","2022-11-16 14:14:12","2022-11-16 14:14:12"
"170",NULL,"1909027301","4","1","4","4","4","4","1","2022-11-16 14:53:43","2022-11-16 14:53:43"
"171",NULL,"2109045588","4","3","2","3","2","4","3","2022-11-16 15:44:26","2022-11-16 15:44:26"
"172",NULL,"2106043403","3","3","3","1","1","4","1","2022-11-16 16:22:12","2022-11-16 16:22:12"
"173",NULL,"2109046105","4","2","3","3","2","3","2","2022-11-16 17:07:07","2022-11-16 17:07:07"
"174",NULL,"2106042762","3","4","2","1","3","3","2","2022-11-16 18:47:54","2022-11-16 18:47:54"
"175",NULL,"1912029557","4","3","2","2","1","4","2","2022-11-16 19:36:10","2022-11-16 19:36:10"
"176",NULL,"1807013446","4","4","4","1","4","4","1","2022-11-16 20:03:59","2022-11-16 20:03:59"
"177",NULL,"2107043619","4","4","4","4","4","4","4","2022-11-16 22:46:50","2022-11-16 22:46:50"
"178",NULL,"2107043602","4","4","1","4","4","4","1","2022-11-16 23:00:32","2022-11-16 23:00:32"
"179",NULL,"2201050416","4","4","4","4","1","4","4","2022-11-17 07:08:47","2022-11-17 07:08:47"
"180",NULL,"2106043404","4","3","3","4","1","4","4","2022-11-17 07:11:29","2022-11-17 07:11:29"
"181",NULL,"1904021766","2","1","1","2","4","1","1","2022-11-17 09:25:03","2022-11-17 09:25:03"
"182",NULL,"2108044877","4","2","4","4","4","4","4","2022-11-17 09:38:46","2022-11-17 09:38:46"
"183",NULL,"1909027160","3","4","1","1","1","1","1","2022-11-17 09:47:05","2022-11-17 09:47:05"
"184",NULL,"2209056264","4","3","2","4","4","4","2","2022-11-17 10:09:50","2022-11-17 10:09:50"
"185",NULL,"2105042319","3","3","3","3","3","3","3","2022-11-17 10:17:34","2022-11-17 10:17:34"
"186",NULL,"2108043895","3","3","3","3","3","3","3","2022-11-17 10:17:35","2022-11-17 10:17:35"
"187",NULL,"2011037750","3","2","3","1","1","4","2","2022-11-17 10:59:12","2022-11-17 10:59:12"
"188",NULL,"2109046226","4","3","3","2","3","4","3","2022-11-17 14:01:33","2022-11-17 14:01:33"
"189",NULL,"2109045991","3","3","2","1","2","3","2","2022-11-17 20:18:30","2022-11-17 20:18:30"
"190",NULL,"2209056713","4","4","4","4","4","4","4","2022-11-18 06:32:35","2022-11-18 06:32:35"
"191",NULL,"1807013749","3","4","4","4","4","4","2","2022-11-18 07:35:19","2022-11-18 07:35:19"
"192",NULL,"2106043290","4","3","4","4","4","4","4","2022-11-18 07:36:09","2022-11-18 07:36:09"
"193",NULL,"1906025234","4","4","4","4","4","1","4","2022-11-18 07:39:34","2022-11-18 07:39:34"
"194",NULL,"1807013840","4","3","3","3","1","3","3","2022-11-18 08:11:31","2022-11-18 08:11:31"
"195",NULL,"2109045981","3","4","1","4","2","4","4","2022-11-18 08:52:25","2022-11-18 08:52:25"
"196",NULL,"1906024887","1","1","1","1","4","1","1","2022-11-18 09:23:26","2022-11-18 09:23:26"
"197",NULL,"2012038882","3","1","1","1","1","2","1","2022-11-18 09:35:53","2022-11-18 09:35:53"
"198",NULL,"2109045996","3","3","3","2","3","2","4","2022-11-18 09:39:48","2022-11-18 09:39:48"
"199",NULL,"2105042348","4","1","4","4","1","4","4","2022-11-18 09:46:02","2022-11-18 09:46:02"
"200",NULL,"2109046416","4","4","1","4","4","4","4","2022-11-18 09:48:15","2022-11-18 09:48:15"
"201",NULL,"2206054542","2","4","2","1","3","3","2","2022-11-18 10:10:10","2022-11-18 10:10:10"
"202",NULL,"2206054337","3","3","2","1","3","3","2","2022-11-18 10:10:10","2022-11-18 10:10:10"
"203",NULL,"2203051861","4","4","4","1","4","1","2","2022-11-18 10:15:27","2022-11-18 10:15:27"
"204",NULL,"2012039201","4","4","3","4","2","4","3","2022-11-18 11:00:16","2022-11-18 11:00:16"
"205",NULL,"2109045690","2","1","3","2","3","2","2","2022-11-18 11:21:02","2022-11-18 11:21:02"
"206",NULL,"2108044333","3","4","4","1","3","3","1","2022-11-18 11:49:10","2022-11-18 11:49:10"
"207",NULL,"2203052485","4","4","2","3","4","3","3","2022-11-18 20:01:22","2022-11-18 20:01:22"
"208",NULL,"1609002328","4","4","4","4","3","4","2","2022-11-18 20:27:48","2022-11-18 20:27:48"
"209",NULL,"2208055549","3","2","3","4","4","3","3","2022-11-19 18:08:51","2022-11-19 18:08:51"
"210",NULL,"2106042990","4","4","4","3","4","3","2","2022-11-21 08:10:51","2022-11-21 08:10:51"
"211",NULL,"2108044508","4","3","4","1","2","2","4","2022-11-21 08:58:39","2022-11-21 08:58:39"
"212",NULL,"1810016568","3","2","3","1","3","2","3","2022-11-21 09:16:09","2022-11-21 09:16:09"
"213",NULL,"2207055298","3","3","4","1","1","4","3","2022-11-21 09:47:10","2022-11-21 09:47:10"
"214",NULL,"2207055314","1","2","3","3","1","4","3","2022-11-21 09:47:22","2022-11-21 09:47:22"
"215",NULL,"2011037924","4","4","4","4","4","4","1","2022-11-21 10:07:46","2022-11-21 10:07:46"
"216",NULL,"2110047377","4","1","1","4","4","4","2","2022-11-21 10:32:01","2022-11-21 10:32:01"
"217",NULL,"1604000739","4","4","4","1","4","4","4","2022-11-21 10:43:27","2022-11-21 10:43:27"
"218",NULL,"2203052234","2","2","2","2","2","2","2","2022-11-21 11:51:11","2022-11-21 11:51:11"
"219",NULL,"2101039507","4","1","4","1","1","1","4","2022-11-21 12:29:35","2022-11-21 12:29:35"
"220",NULL,"2203052308","4","2","3","3","3","1","3","2022-11-21 12:48:13","2022-11-21 12:48:13"
"221",NULL,"2110046607","4","2","2","3","4","4","1","2022-11-21 13:06:18","2022-11-21 13:06:18"
"222",NULL,"2106043336","4","4","4","4","4","4","4","2022-11-21 14:20:29","2022-11-21 14:20:29"
"223",NULL,"1807013668","4","4","3","4","4","4","3","2022-11-21 15:35:45","2022-11-21 15:35:45"
"224",NULL,"2104042155","3","3","4","3","1","4","2","2022-11-21 16:51:21","2022-11-21 16:51:21"
"225",NULL,"2109045285","4","4","1","4","4","4","4","2022-11-21 20:19:32","2022-11-21 20:19:32"
"226",NULL,"1909026750","3","1","4","2","2","2","3","2022-11-22 01:46:51","2022-11-22 01:46:51"
"227",NULL,"2209056537","4","4","4","3","4","3","4","2022-11-22 06:20:42","2022-11-22 06:20:42"
"228",NULL,"2010036857","4","3","4","1","3","2","1","2022-11-22 08:27:28","2022-11-22 08:27:28"
"229",NULL,"2110047675","3","3","3","2","3","2","2","2022-11-22 08:35:17","2022-11-22 08:35:17"
"230",NULL,"2202051244","4","1","4","2","3","3","3","2022-11-22 08:35:55","2022-11-22 08:35:55"
"231",NULL,"1909027174","3","3","3","1","3","3","1","2022-11-22 08:37:03","2022-11-22 08:37:03"
"232",NULL,"2206054309","4","4","4","4","4","4","4","2022-11-22 09:11:14","2022-11-22 09:11:14"
"233",NULL,"1809015967","4","1","2","3","1","4","4","2022-11-22 10:11:20","2022-11-22 10:11:20"
"234",NULL,"1909026896","1","1","1","4","1","1","4","2022-11-22 13:40:28","2022-11-22 13:40:28"
"235",NULL,"2208055716","1","1","1","4","4","4","4","2022-11-22 14:04:20","2022-11-22 14:04:20"
"236",NULL,"1609001977","1","1","1","4","4","1","1","2022-11-22 19:05:26","2022-11-22 19:05:26"
"237","248","1911028755","3","3","3","3","4","4","4","2022-11-28 09:32:22","2022-11-28 09:32:22"
"238","249","1807013892","4","1","3","3","4","4","4","2022-11-28 13:12:06","2022-11-28 13:12:06"
